APOYOS OTORGADOS A ORGANIZACIONES DE LA SOCIEDAD CIVIL,,,,
MONTOS OTORGADOS EN 2017,,,,
Num.,Organizacion,Proyecto,Estado,Monto otorgado
1,"Acciona, Transformando Caminos para Ser y Hacer, A.C. ",Jovenes y docentes prevenimos desde y para nuestra comunidad.,Morelos,95892
2,"Amox Tochan, A.C. ",Educacion para Salud.,Mexico,113081
3,"Asociacion de Familiares y Amigos de Pacientes Esquizofrenicos, A.C. ",Desarrollando habilidades para la inclusion social en personas con esquizofrenia.,Ciudad de Mexico,182286
4,"Asociacion Mexicana de Ayuda a Ninos con Cancer en Queretaro, I.A.P.",Coinversion al Modelo de Acompanamiento Integral de AMANC Queretaro.,Queretaro,178396
5,"Asociacion Pro Formacion y Orientacion de la Mujer y de la familia, IA.P.","Jornadas medicas, salud bucal; educativo-preventivo y curativo, tecnicas para la preparacion de alimentos saludables aplicado a un men£ familiar.",Sinaloa,173603
6,"Ayuda Rosa, A.C. ",Estrategias nutricionales preventivas y de seguimiento.,Coahuila,135697
7,"Balance, Promocion para el Desarrollo y Juventud, A.C. ",Incrementar el acceso a la salud sexual y reproductiva con especial enfasis en adolescentes y poblaciones vulnerables para prevenir el embarazo adolescente. ,Ciudad de Mexico,149134
8,"Brigada Callejera de Apoyo a la Mujer, E.M. A.C. ","Prevencion, deteccion temprana y atencion oportuna de VIH, sifilis y otras ITS entre trabajadoras sexuales de La Merced y otros puntos de encuentro. ",Ciudad de Mexico,135000
9,"Casa Amiga Centro de Crisis, A.C. ","Yo adolescente tengo derechos, yo conozco, yo decido.",Chihuahua,158631
10,"Casa de Estudiantes de San Ignacio, I.A.P.","Proporcionar educacion nutricional y alimentacion saludable a jovenes de escasos recursos economicos del municipio de San Ignacio, atendidos por la Casa de Estudiante de San Ignacio. ",Sinaloa,155712
